SMILES,CID,ROMol,molecular_weight,n_hba,n_hbd,logp,f_avg_pIC50,r_avg_pIC50,Ro5_fulfilled
C=CC(=O)Nc1cc(C(=O)NC[C@H](Cc2ccccc2)c2ccccn2)ccc1O,JUA-UNI-bc099708-5,<rdkit.Chem.rdchem.Mol object at 0x1683ecc10>,401.173941596,4,3,3.6680000000000033,4.002176919254275,4.00436480540245,True
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,MAT-POS-916a2c5a-1,<rdkit.Chem.rdchem.Mol object at 0x1683ecba0>,364.064841084,5,0,3.6818000000000026,5.726948327918727,6.013779168572213,True
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,MAT-POS-916a2c5a-2,<rdkit.Chem.rdchem.Mol object at 0x1683ecb30>,338.126657056,4,2,2.3455000000000004,5.103867754909347,5.460723742137179,True
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,MAT-POS-916a2c5a-3,<rdkit.Chem.rdchem.Mol object at 0x1683ecac0>,453.172227344,4,1,2.9084800000000017,5.072316705597282,5.425893083727681,True
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1,MAT-POS-916a2c5a-4,<rdkit.Chem.rdchem.Mol object at 0x1683eca50>,333.147726848,3,1,2.490500000000001,4.560274328068208,4.982852994736412,True
CC1CN(Cc2cccc(Cl)c2)CCN1C(=O)CCl,MED-COV-4280ac29-13,<rdkit.Chem.rdchem.Mol object at 0x1683ec890>,300.07961855599996,2,0,2.6115000000000013,5.111634363157571,5.682473929533894,True
O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC1,MED-COV-4280ac29-15,<rdkit.Chem.rdchem.Mol object at 0x1683ec820>,286.06396849199996,2,0,2.223,5.578477535718885,6.263246359093275,True
O=C(CCl)N1CCN(Cc2cnc(Cc3ccccc3)s2)CC1,MED-COV-4280ac29-25,<rdkit.Chem.rdchem.Mol object at 0x1683ec7b0>,349.10156094,4,0,2.616900000000001,4.526448469015741,4.461292172872575,True
COc1ccc(C2CC(c3ccccc3)=NN2C(=O)CCl)cc1OC,MED-COV-4280ac29-30,<rdkit.Chem.rdchem.Mol object at 0x1683ec740>,358.108420148,4,0,3.620300000000003,6.265522306428043,6.375675186428736,True
O=C(CCl)N1CCN(Cc2cccc3ccccc23)CC1,MED-COV-4280ac29-31,<rdkit.Chem.rdchem.Mol object at 0x1683ec6d0>,302.11859090800004,2,0,2.722800000000001,5.239442374236254,6.0455908771365365,True
COCc1cc(Cl)cc(CN2CCN(C(=O)CCl)CC2)c1,MED-COV-4280ac29-33,<rdkit.Chem.rdchem.Mol object at 0x1683ec660>,330.09018324,3,0,2.3694000000000006,5.321139905808783,5.883257228787284,True
COCCc1ccc(Cl)cc1CN1CCN(C(=O)CCl)CC1,MED-COV-4280ac29-37,<rdkit.Chem.rdchem.Mol object at 0x1683ec5f0>,344.105833304,3,0,2.4119,5.657127681673307,5.6166400668511365,True
